Dataset Type,Environment,Delay Mode,Delay,Algo,Seed,Iteration,D4rl_Score,D4rl_Score_stddev
low-100,Hopper-v3,constant,20,DT,"[10, 100, 0]",11,17.1,0.7
low-100,HalfCheetah-v3,constant,20,DT,"[100, 10, 0]",0,29.5,0.3
low-10,HalfCheetah-v3,constant,20,DT,"[100, 10, 0]",7,27.7,0.1
low-10,Hopper-v3,constant,20,DT,"[100, 10, 0]",30,17.1,0.2
low-100,Walker2d-v3,constant,20,DT,"[100, 10, 0]",7,38.4,1.1
low-10,Walker2d-v3,constant,20,DT,"[100, 10, 0]",17,31.9,2.1
random,halfcheetah,constant,20,DT,"[0, 0]",0,2.3,0.0
medium,halfcheetah,constant,20,DT,[0],37,42.8,0.0
medium-replay,halfcheetah,constant,20,DT,[0],45,38.7,0.0
medium-expert,halfcheetah,constant,20,DT,[0],35,93.1,0.0
expert,halfcheetah,constant,20,DT,"[0, 0]",33,92.5,0.8
expert,hopper,constant,20,DT,"[0, 0]",34,111.3,0.3
medium-expert,hopper,constant,20,DT,[0],46,110.6,0.0
medium-replay,hopper,constant,20,DT,"[0, 0]",40,82.0,6.6
medium,hopper,constant,20,DT,"[0, 0]",31,73.3,4.5
random,hopper,constant,20,DT,"[0, 0]",49,8.4,0.3
