Dataset Type,Environment,Delay Mode,Delay,Algo,Strategy,Seed,Iteration,D4rl_Score,D4rl_Score_stddev
medium,hopper,constant,20,mopo,interval_ensemble,"[1000, 10, 100]",0,43.9,14.1
random,hopper,constant,20,mopo,interval_average,"[10, 1000, 100]",57,9.1,1.5
medium-replay,hopper,constant,20,mopo,interval_average,"[10, 100, 1000]",1466,89.8,5.7
medium,hopper,constant,50,mopo,none,[2021],757,94.4,0.0
medium,walker2d,constant,20,mopo,interval_average,"[1000, 100, 10]",672,72.3,0.9
expert,hopper,constant,20,mopo,interval_average,"[10, 100, 1000]",0,13.5,0.4
medium,halfcheetah,constant,20,mopo,interval_average,"[1000, 10, 100]",1250,48.3,2.4
medium-replay,hopper,constant,20,mopo,interval_ensemble,"[100, 10, 1000]",1343,96.9,1.2
medium-expert,halfcheetah,constant,20,mopo,interval_ensemble,"[10, 1000, 100]",1426,61.5,20.4
random,halfcheetah,constant,20,mopo,interval_average,"[100, 1000, 10]",1348,25.3,1.5
medium-replay,walker2d,constant,100,mopo,"pg_reshaping,scale",[2021],875,53.0,0.0
medium,hopper,constant,50,mopo,"scale,pg_reshaping,scale",[2021],0,38.9,0.0
medium,hopper,constant,20,mopo,interval_average,"[1000, 100, 10]",0,19.0,8.1
medium-expert,hopper,constant,20,mopo,interval_average,"[100, 10, 1000]",1069,22.1,3.2
medium-expert,walker2d,constant,20,mopo,interval_average,"[10, 1000, 100]",1426,99.0,3.7
medium-replay,walker2d,constant,20,mopo,interval_average,"[100, 10, 1000]",1263,59.1,3.7
expert,hopper,constant,20,mopo,interval_ensemble,"[1000, 10, 100]",0,15.6,2.6
medium-replay,halfcheetah,constant,50,mopo,"interval_average,scale","[2021, 2021]",1425,43.5,0.0
random,hopper,constant,20,mopo,interval_ensemble,"[10, 100, 1000]",160,8.7,1.8
medium-replay,hopper,constant,50,mopo,"scale,pg_reshaping,scale",[2021],615,99.7,0.0
medium-replay,halfcheetah,constant,50,mopo,"interval_average,scale_zscore",[2021],1204,49.4,0.0
medium,halfcheetah,constant,50,mopo,"scale,interval_average,scale",[2021],176,39.3,0.0
expert,halfcheetah,constant,20,mopo,interval_ensemble,"[1000, 100, 10]",234,19.7,22.7
expert,halfcheetah,constant,20,mopo,interval_average,"[1000, 10, 100]",226,23.0,25.5
medium,halfcheetah,constant,50,mopo,"interval_average,scale_zscore",[2021],1349,42.5,0.0
medium-expert,hopper,constant,20,mopo,interval_ensemble,"[10, 100, 1000]",920,21.1,9.4
medium-replay,hopper,constant,50,mopo,"scale,interval_average,scale",[2021],886,98.2,0.0
medium-replay,hopper,constant,50,mopo,interval_average,[2021],210,100.4,0.0
medium-replay,halfcheetah,constant,50,mopo,"scale,interval_average",[2021],9,7.8,0.0
medium-replay,walker2d,constant,20,mopo,interval_ensemble,"[100, 1000, 10]",1084,57.3,7.2
medium-replay,halfcheetah,constant,50,mopo,interval_random,"[2021, 2021]",332,17.1,3.3
random,walker2d,constant,20,mopo,interval_average,"[1000, 10, 100]",5,12.6,6.1
medium-replay,hopper,constant,50,mopo,none,[2021],1008,55.0,0.0
medium-expert,walker2d,constant,20,mopo,interval_ensemble,"[1000, 10, 100]",1330,92.0,14.2
random,walker2d,constant,20,mopo,interval_ensemble,"[10, 1000, 100]",974,7.1,10.2
medium-replay,walker2d,constant,100,mopo,"scale,interval_average",[2021],999,52.5,0.0
medium,hopper,constant,50,mopo,interval_ensemble,[2021],80,30.7,0.0
random,halfcheetah,constant,20,mopo,interval_ensemble,"[1000, 100, 10]",627,4.8,5.9
medium,halfcheetah,constant,20,mopo,interval_ensemble,"[100, 1000, 10]",1375,47.7,0.4
medium-replay,hopper,constant,50,mopo,scale,[2021],767,100.8,0.0
medium-replay,halfcheetah,constant,20,mopo,interval_ensemble,"[100, 1000, 10]",1446,54.9,1.5
medium,halfcheetah,constant,50,mopo,"pg_reshaping,scale",[2021],119,37.1,0.0
medium-replay,walker2d,constant,100,mopo,"interval_average,scale_zscore",[2021],1151,69.9,0.0
medium-replay,walker2d,constant,100,mopo,none,[2021],1017,25.2,0.0
medium-replay,walker2d,constant,100,mopo,scale,[2021],1040,49.7,0.0
medium-replay,halfcheetah,constant,50,mopo,scale_v2,[2021],0,7.0,0.0
medium-replay,walker2d,constant,100,mopo,"scale,pg_reshaping",[2021],1498,50.8,0.0
medium-replay,walker2d,constant,100,mopo,"scale,interval_average,scale",[2021],117,52.0,0.0
medium-replay,halfcheetah,constant,50,mopo,none,[2021],0,5.7,0.0
medium-replay,hopper,constant,50,mopo,interval_ensemble,[2021],893,99.9,0.0
medium,halfcheetah,constant,50,mopo,interval_ensemble,[2021],672,44.3,0.0
