Dataset Type,Environment,Delay Mode,Delay,Strategy,Algo,Seed,Iteration,D4rl_Score,D4rl_Score_stddev
random,walker2d,constant,20,dt,DT,"[1000, 100, 10]",1,5.4,1.2
random,halfcheetah,constant,20,dt,DT,"[10, 100, 0]",0,2.3,0.0
medium,halfcheetah,constant,20,dt,DT,"[10, 100, 0]",29,42.7,0.1
medium-replay,halfcheetah,constant,20,dt,DT,"[10, 100, 0]",33,37.5,0.4
medium-expert,halfcheetah,constant,20,dt,DT,"[10, 100, 0]",33,90.5,1.2
expert,halfcheetah,constant,20,dt,DT,"[10, 100, 0]",22,91.3,1.0
random,hopper,constant,20,dt,DT,"[100, 10, 0]",46,8.2,0.0
medium,hopper,constant,20,dt,DT,"[100, 10, 0]",12,65.7,4.8
medium-replay,hopper,constant,20,dt,DT,"[100, 10, 0]",47,85.4,1.9
medium-expert,hopper,constant,20,dt,DT,"[100, 10, 0]",25,110.0,1.0
expert,hopper,constant,20,dt,DT,"[100, 10, 0]",22,111.0,0.1
low-100,Hopper-v3,constant,20,dt,DT,"[10, 100, 0]",11,17.1,0.7
low-100,HalfCheetah-v3,constant,20,dt,DT,"[100, 10, 0]",0,29.5,0.3
low-10,HalfCheetah-v3,constant,20,dt,DT,"[100, 10, 0]",7,27.7,0.1
low-10,Hopper-v3,constant,20,dt,DT,"[100, 10, 0]",30,17.1,0.2
low-100,Walker2d-v3,constant,20,dt,DT,"[100, 10, 0]",7,38.4,1.1
low-10,Walker2d-v3,constant,20,dt,DT,"[100, 10, 0]",17,31.9,2.1
