Dataset Type,Environment,Delay Mode,Delay,Strategy,Algo,Seed,Iteration,D4rl_Score
medium-replay-v0,halfcheetah,constant,1000,interval_average,mopo,100,0,44.7
medium-replay-v0,halfcheetah,constant,1000,interval_average,mopo,1000,0,45.9
medium-replay-v0,halfcheetah,constant,1000,interval_average,mopo,10,0,46.0
medium-replay-v0,halfcheetah,constant,1,interval_average,mopo,1000,0,59.3
medium-replay-v0,halfcheetah,constant,1,interval_average,mopo,100,0,57.7
medium-replay-v0,halfcheetah,constant,1,interval_average,mopo,10,0,56.8
medium-replay-v0,halfcheetah,constant,2,interval_average,mopo,1000,0,57.8
medium-replay-v0,halfcheetah,constant,2,interval_average,mopo,100,0,60.1
medium-replay-v0,halfcheetah,constant,2,interval_average,mopo,10,0,58.4
medium-replay-v0,halfcheetah,constant,3,interval_average,mopo,1000,0,55.0
medium-replay-v0,halfcheetah,constant,3,interval_average,mopo,100,0,57.7
medium-replay-v0,halfcheetah,constant,3,interval_average,mopo,10,0,55.9
medium-replay-v0,halfcheetah,constant,5,interval_average,mopo,1000,0,58.5
medium-replay-v0,halfcheetah,constant,5,interval_average,mopo,100,0,56.9
medium-replay-v0,halfcheetah,constant,5,interval_average,mopo,10,0,59.7
medium-replay-v0,halfcheetah,constant,10,interval_average,mopo,1000,0,53.9
medium-replay-v0,halfcheetah,constant,10,interval_average,mopo,100,0,52.0
medium-replay-v0,halfcheetah,constant,10,interval_average,mopo,10,0,53.8
medium-replay-v0,halfcheetah,constant,50,interval_average,mopo,1000,0,54.6
medium-replay-v0,halfcheetah,constant,50,interval_average,mopo,100,0,51.7
medium-replay-v0,halfcheetah,constant,50,interval_average,mopo,10,0,51.0
medium-replay-v0,halfcheetah,constant,100,interval_average,mopo,1000,0,54.3
medium-replay-v0,halfcheetah,constant,100,interval_average,mopo,100,0,49.8
medium-replay-v0,halfcheetah,constant,100,interval_average,mopo,10,0,52.5
medium-replay-v0,halfcheetah,constant,200,interval_average,mopo,1000,0,49.3
medium-replay-v0,halfcheetah,constant,200,interval_average,mopo,100,0,49.0
medium-replay-v0,halfcheetah,constant,200,interval_average,mopo,10,0,52.6
medium-replay-v0,halfcheetah,constant,500,interval_average,mopo,1000,0,49.3
medium-replay-v0,halfcheetah,constant,500,interval_average,mopo,100,0,46.2
medium-replay-v0,halfcheetah,constant,500,interval_average,mopo,10,0,46.2
medium-replay-v0,halfcheetah,constant,20,interval_average,mopo,10,0,51.1
medium-replay-v0,halfcheetah,constant,20,interval_average,mopo,1000,0,55.8
medium-replay-v0,halfcheetah,constant,20,interval_average,mopo,100,0,53.4
medium-replay-v0,halfcheetah,constant,20,interval_average,mopo,10,0,51.6
