Dataset Type,Environment,Delay Mode,Delay,Strategy,Algo,Seed,Iteration,D4rl_Score
medium-expert-v0,walker2d,constant,20,interval_ensemble,iql,1000,1649,105.4
medium-expert-v0,walker2d,constant,20,interval_ensemble,iql,10,1649,103.7
medium-expert-v0,walker2d,constant,20,interval_ensemble,iql,100,1649,105.6
medium-expert-v0,hopper,constant,20,interval_ensemble,iql,100,1849,112.8
medium-expert-v0,hopper,constant,20,interval_ensemble,iql,10,1849,112.0
medium-expert-v0,hopper,constant,20,interval_ensemble,iql,1000,1849,112.8
random-v0,walker2d,constant,20,interval_ensemble,iql,100,199,7.6
random-v0,walker2d,constant,20,interval_ensemble,iql,1000,199,7.4
random-v0,walker2d,constant,20,interval_ensemble,iql,10,199,7.1
medium-v0,walker2d,constant,20,interval_ensemble,iql,1000,1599,63.4
medium-v0,walker2d,constant,20,interval_ensemble,iql,10,1599,66.9
medium-v0,walker2d,constant,20,interval_ensemble,iql,100,1599,72.3
random-v0,hopper,constant,20,interval_ensemble,iql,1000,1699,11.9
random-v0,hopper,constant,20,interval_ensemble,iql,10,1699,11.5
random-v0,hopper,constant,20,interval_ensemble,iql,100,1699,11.5
medium-v0,hopper,constant,20,interval_ensemble,iql,1000,299,98.3
medium-v0,hopper,constant,20,interval_ensemble,iql,10,299,86.8
medium-v0,hopper,constant,20,interval_ensemble,iql,100,299,41.9
medium-replay-v0,hopper,constant,20,interval_ensemble,iql,10,449,61.2
medium-replay-v0,hopper,constant,20,interval_ensemble,iql,100,449,37.5
medium-replay-v0,hopper,constant,20,interval_ensemble,iql,1000,449,36.8
medium-replay-v0,walker2d,constant,20,interval_ensemble,iql,10,1749,16.6
medium-replay-v0,walker2d,constant,20,interval_ensemble,iql,1000,1749,23.6
medium-replay-v0,walker2d,constant,20,interval_ensemble,iql,100,1749,12.4
medium-expert-v0,halfcheetah,constant,20,interval_ensemble,iql,1000,1399,49.2
medium-expert-v0,halfcheetah,constant,20,interval_ensemble,iql,100,1399,45.8
medium-expert-v0,halfcheetah,constant,20,interval_ensemble,iql,10,1399,41.6
medium-v0,halfcheetah,constant,20,interval_ensemble,iql,10,1849,42.0
medium-v0,halfcheetah,constant,20,interval_ensemble,iql,1000,1849,41.8
medium-v0,halfcheetah,constant,20,interval_ensemble,iql,100,1849,42.9
random-v0,halfcheetah,constant,20,interval_ensemble,iql,1000,449,16.8
random-v0,halfcheetah,constant,20,interval_ensemble,iql,100,449,17.5
random-v0,halfcheetah,constant,20,interval_ensemble,iql,10,449,16.8
medium-replay-v0,halfcheetah,constant,20,interval_ensemble,iql,1000,499,42.2
medium-replay-v0,halfcheetah,constant,20,interval_ensemble,iql,10,499,41.4
medium-replay-v0,halfcheetah,constant,20,interval_ensemble,iql,100,499,42.0
low-10,halfcheetah,constant,20,interval_ensemble,iql,1000,999,28.8
low-10,halfcheetah,constant,20,interval_ensemble,iql,10,999,29.1
low-10,halfcheetah,constant,20,interval_ensemble,iql,100,999,28.8
low-100,halfcheetah,constant,20,interval_ensemble,iql,100,599,30.1
low-100,halfcheetah,constant,20,interval_ensemble,iql,10,599,30.2
low-100,halfcheetah,constant,20,interval_ensemble,iql,1000,599,30.0
low-10,hopper,constant,20,interval_ensemble,iql,10,0,17.4
low-10,hopper,constant,20,interval_ensemble,iql,1000,0,17.4
low-10,hopper,constant,20,interval_ensemble,iql,100,0,18.3
low-10,walker2d,constant,20,interval_ensemble,iql,10,1649,40.6
low-10,walker2d,constant,20,interval_ensemble,iql,1000,1649,44.8
low-10,walker2d,constant,20,interval_ensemble,iql,100,1649,43.6
low-100,hopper,constant,20,interval_ensemble,iql,10,199,17.8
low-100,hopper,constant,20,interval_ensemble,iql,1000,199,20.7
low-100,hopper,constant,20,interval_ensemble,iql,100,199,20.0
low-100,walker2d,constant,20,interval_ensemble,iql,1000,299,44.9
low-100,walker2d,constant,20,interval_ensemble,iql,100,299,44.8
low-100,walker2d,constant,20,interval_ensemble,iql,10,299,45.5
low-100,walker2d,constant,20,interval_average,iql,100,749,47.2
low-100,walker2d,constant,20,interval_average,iql,10,749,50.9
low-100,walker2d,constant,20,interval_average,iql,1000,749,44.1
low-100,hopper,constant,20,interval_average,iql,100,349,20.2
low-100,hopper,constant,20,interval_average,iql,10,349,20.7
low-100,hopper,constant,20,interval_average,iql,1000,349,19.2
low-100,halfcheetah,constant,20,interval_average,iql,10,249,30.0
low-100,halfcheetah,constant,20,interval_average,iql,100,249,30.3
low-100,halfcheetah,constant,20,interval_average,iql,1000,249,30.1
low-10,walker2d,constant,20,interval_average,iql,10,1299,45.6
low-10,walker2d,constant,20,interval_average,iql,1000,1299,41.2
low-10,walker2d,constant,20,interval_average,iql,100,1299,44.6
low-10,hopper,constant,20,interval_average,iql,10,949,17.1
low-10,hopper,constant,20,interval_average,iql,1000,949,23.4
low-10,hopper,constant,20,interval_average,iql,100,949,17.6
low-10,halfcheetah,constant,20,interval_average,iql,100,549,28.9
low-10,halfcheetah,constant,20,interval_average,iql,10,549,28.8
low-10,halfcheetah,constant,20,interval_average,iql,1000,549,29.4
medium-play-v2,antmaze,none,20,interval_ensemble,iql,1000,1849,87
medium-play-v2,antmaze,none,20,interval_ensemble,iql,100,1849,87
medium-play-v2,antmaze,none,20,interval_ensemble,iql,10,1849,87
medium-v0,walker2d,constant,20,interval_average,iql,100,1899,67.3
medium-v0,walker2d,constant,20,interval_average,iql,10,1899,69.1
medium-v0,walker2d,constant,20,interval_average,iql,1000,1899,70.6
medium-v0,hopper,constant,20,interval_average,iql,1000,449,95.2
medium-v0,hopper,constant,20,interval_average,iql,100,449,100.7
medium-v0,hopper,constant,20,interval_average,iql,10,449,29.5
random-v0,hopper,constant,20,interval_average,iql,1000,1749,11.7
random-v0,hopper,constant,20,interval_average,iql,10,1749,11.7
random-v0,hopper,constant,20,interval_average,iql,100,1749,11.5
medium-expert-v0,hopper,constant,20,interval_average,iql,10,1449,113.4
medium-expert-v0,hopper,constant,20,interval_average,iql,1000,1449,113.1
medium-expert-v0,hopper,constant,20,interval_average,iql,100,1449,112.0
medium-expert-v0,walker2d,constant,20,interval_average,iql,10,1749,107.0
medium-expert-v0,walker2d,constant,20,interval_average,iql,1000,1749,101.4
medium-expert-v0,walker2d,constant,20,interval_average,iql,100,1749,104.8
medium-replay-v0,hopper,constant,20,interval_average,iql,10,99,49.5
medium-replay-v0,hopper,constant,20,interval_average,iql,100,99,36.8
medium-replay-v0,hopper,constant,20,interval_average,iql,1000,99,35.8
medium-replay-v0,walker2d,constant,20,interval_average,iql,100,1549,19.0
medium-replay-v0,walker2d,constant,20,interval_average,iql,10,1549,14.5
medium-replay-v0,walker2d,constant,20,interval_average,iql,1000,1549,27.7
medium-play-v2,antmaze,none,20,interval_average,iql,10,1099,81
medium-play-v2,antmaze,none,20,interval_average,iql,100,1099,90
medium-play-v2,antmaze,none,20,interval_average,iql,1000,1099,77
medium-play-v2,antmaze,none,20,none,iql,1000,1699,83
medium-play-v2,antmaze,none,20,none,iql,10,1699,86
medium-play-v2,antmaze,none,20,none,iql,100,1699,90
medium-expert-v0,halfcheetah,constant,20,interval_average,iql,10,1849,51.4
medium-expert-v0,halfcheetah,constant,20,interval_average,iql,1000,1849,37.2
medium-expert-v0,halfcheetah,constant,20,interval_average,iql,100,1849,46.3
random-v0,halfcheetah,constant,20,interval_average,iql,100,299,16.6
random-v0,halfcheetah,constant,20,interval_average,iql,10,299,19.5
random-v0,halfcheetah,constant,20,interval_average,iql,1000,299,18.3
random-v0,walker2d,constant,20,interval_average,iql,100,249,7.4
random-v0,walker2d,constant,20,interval_average,iql,10,249,8.3
random-v0,walker2d,constant,20,interval_average,iql,1000,249,6.8
medium-v0,halfcheetah,constant,20,interval_average,iql,10,1799,42.0
medium-v0,halfcheetah,constant,20,interval_average,iql,1000,1799,42.5
