Dataset Type,Environment,Delay Mode,Delay,Strategy,Algo,Seed,Iteration,D4rl_Score
medium-v0,walker2d,constant,5,interval_ensemble,mopo,1000,999,32.6
medium-v0,walker2d,constant,5,interval_ensemble,mopo,100,999,60.3
medium-v0,walker2d,constant,5,interval_ensemble,mopo,10,999,57.9
medium-v0,walker2d,constant,10,interval_ensemble,mopo,1000,1099,71.4
medium-v0,walker2d,constant,10,interval_ensemble,mopo,100,1099,53.9
medium-v0,walker2d,constant,10,interval_ensemble,mopo,10,1099,52.4
medium-v0,walker2d,constant,2,interval_ensemble,mopo,1000,549,56.6
medium-v0,walker2d,constant,2,interval_ensemble,mopo,100,549,64.6
medium-v0,walker2d,constant,2,interval_ensemble,mopo,10,549,63.1
medium-v0,walker2d,constant,100,interval_ensemble,mopo,1000,649,76.8
medium-v0,walker2d,constant,100,interval_ensemble,mopo,100,649,63.2
medium-v0,walker2d,constant,100,interval_ensemble,mopo,10,649,67.6
medium-v0,walker2d,constant,3,interval_ensemble,mopo,1000,699,62.7
medium-v0,walker2d,constant,3,interval_ensemble,mopo,100,699,73.4
medium-v0,walker2d,constant,3,interval_ensemble,mopo,10,699,59.6
medium-v0,walker2d,constant,50,interval_ensemble,mopo,1000,899,60.0
medium-v0,walker2d,constant,50,interval_ensemble,mopo,100,899,71.8
medium-v0,walker2d,constant,50,interval_ensemble,mopo,10,899,66.0
medium-v0,walker2d,constant,1,interval_ensemble,mopo,1000,1349,56.9
medium-v0,walker2d,constant,1,interval_ensemble,mopo,100,1349,72.9
medium-v0,walker2d,constant,1,interval_ensemble,mopo,10,1349,74.7
medium-v0,walker2d,constant,200,interval_ensemble,mopo,1000,949,64.7
medium-v0,walker2d,constant,200,interval_ensemble,mopo,100,949,60.9
medium-v0,walker2d,constant,200,interval_ensemble,mopo,10,949,67.0
medium-v0,walker2d,constant,1000,interval_ensemble,mopo,1000,549,67.5
medium-v0,walker2d,constant,1000,interval_ensemble,mopo,100,549,62.0
medium-v0,walker2d,constant,1000,interval_ensemble,mopo,10,549,59.1
medium-v0,walker2d,constant,500,interval_ensemble,mopo,1000,649,65.5
medium-v0,walker2d,constant,500,interval_ensemble,mopo,100,649,73.1
medium-v0,walker2d,constant,500,interval_ensemble,mopo,10,649,60.6
medium-v0,walker2d,constant,5,none,mopo,1000,49,16.2
medium-v0,walker2d,constant,5,none,mopo,100,49,17.5
medium-v0,walker2d,constant,5,none,mopo,10,49,20.8
medium-v0,walker2d,constant,1,none,mopo,1000,1249,65.3
medium-v0,walker2d,constant,1,none,mopo,100,1249,65.6
medium-v0,walker2d,constant,1,none,mopo,10,1249,64.5
medium-v0,walker2d,constant,2,none,mopo,1000,349,41.6
medium-v0,walker2d,constant,2,none,mopo,100,349,41.1
medium-v0,walker2d,constant,2,none,mopo,10,349,28.3
medium-v0,walker2d,constant,3,none,mopo,1000,899,11.3
medium-v0,walker2d,constant,3,none,mopo,100,899,31.8
medium-v0,walker2d,constant,3,none,mopo,10,899,21.4
medium-v0,walker2d,constant,10,none,mopo,1000,1199,6.3
