Dataset Type,Environment,Delay Mode,Delay,Strategy,Algo,Seed,Iteration,D4rl_Score,D4rl_Score_stddev
medium-expert-v0,walker2d,constant,20,interval_ensemble,iql,"[1000, 10, 100]",1649,104.9,0.8
medium-expert-v0,hopper,constant,20,interval_ensemble,iql,"[100, 10, 1000]",1849,112.6,0.4
random-v0,walker2d,constant,20,interval_ensemble,iql,"[100, 1000, 10]",199,7.4,0.2
medium-v0,walker2d,constant,20,interval_ensemble,iql,"[1000, 10, 100]",1599,67.6,3.7
random-v0,hopper,constant,20,interval_ensemble,iql,"[1000, 10, 100]",1699,11.6,0.2
medium-v0,hopper,constant,20,interval_ensemble,iql,"[1000, 10, 100]",299,75.6,24.3
medium-replay-v0,hopper,constant,20,interval_ensemble,iql,"[10, 100, 1000]",449,45.2,11.3
medium-replay-v0,walker2d,constant,20,interval_ensemble,iql,"[10, 1000, 100]",1749,17.5,4.6
medium-expert-v0,halfcheetah,constant,20,interval_ensemble,iql,"[1000, 100, 10]",1399,45.5,3.1
medium-v0,halfcheetah,constant,20,interval_ensemble,iql,"[10, 1000, 100]",1849,42.2,0.5
random-v0,halfcheetah,constant,20,interval_ensemble,iql,"[1000, 100, 10]",449,17.0,0.3
medium-replay-v0,halfcheetah,constant,20,interval_ensemble,iql,"[1000, 10, 100]",499,41.9,0.4
low-10,halfcheetah,constant,20,interval_ensemble,iql,"[1000, 10, 100]",999,28.9,0.1
low-100,halfcheetah,constant,20,interval_ensemble,iql,"[100, 10, 1000]",599,30.1,0.1
low-10,hopper,constant,20,interval_ensemble,iql,"[10, 1000, 100]",0,17.7,0.4
low-10,walker2d,constant,20,interval_ensemble,iql,"[10, 1000, 100]",1649,43.0,1.8
low-100,hopper,constant,20,interval_ensemble,iql,"[10, 1000, 100]",199,19.5,1.2
low-100,walker2d,constant,20,interval_ensemble,iql,"[1000, 100, 10]",299,45.1,0.3
low-100,walker2d,constant,20,interval_average,iql,"[100, 10, 1000]",749,47.4,2.8
low-100,hopper,constant,20,interval_average,iql,"[100, 10, 1000]",349,20.0,0.6
low-100,halfcheetah,constant,20,interval_average,iql,"[10, 100, 1000]",249,30.1,0.1
low-10,walker2d,constant,20,interval_average,iql,"[10, 1000, 100]",1299,43.8,1.9
low-10,hopper,constant,20,interval_average,iql,"[10, 1000, 100]",949,19.3,2.9
low-10,halfcheetah,constant,20,interval_average,iql,"[100, 10, 1000]",549,29.0,0.2
medium-play-v2,antmaze,none,20,interval_ensemble,iql,"[1000, 100, 10]",1849,87.0,0.0
medium-v0,walker2d,constant,20,interval_average,iql,"[100, 10, 1000]",1899,69.0,1.3
medium-v0,hopper,constant,20,interval_average,iql,"[1000, 100, 10]",449,75.1,32.3
random-v0,hopper,constant,20,interval_average,iql,"[1000, 10, 100]",1749,11.6,0.1
medium-expert-v0,hopper,constant,20,interval_average,iql,"[10, 1000, 100]",1449,112.8,0.6
medium-expert-v0,walker2d,constant,20,interval_average,iql,"[10, 1000, 100]",1749,104.4,2.3
medium-replay-v0,hopper,constant,20,interval_average,iql,"[10, 100, 1000]",99,40.7,6.2
medium-replay-v0,walker2d,constant,20,interval_average,iql,"[100, 10, 1000]",1549,20.4,5.5
medium-play-v2,antmaze,none,20,interval_average,iql,"[10, 100, 1000]",1099,82.7,5.4
medium-play-v2,antmaze,none,20,none,iql,"[1000, 10, 100]",1699,86.3,2.9
medium-expert-v0,halfcheetah,constant,20,interval_average,iql,"[10, 1000, 100]",1849,45.0,5.9
random-v0,halfcheetah,constant,20,interval_average,iql,"[100, 10, 1000]",299,18.2,1.2
random-v0,walker2d,constant,20,interval_average,iql,"[100, 10, 1000]",249,7.5,0.6
medium-v0,halfcheetah,constant,20,interval_average,iql,"[10, 1000, 100]",1799,42.4,0.3
medium-replay-v0,halfcheetah,constant,20,interval_average,iql,"[100, 10, 1000]",1299,41.9,0.2
low-100,walker2d,constant,20,none,iql,"[1000, 10, 100]",149,40.0,3.8
low-100,hopper,constant,20,none,iql,"[1000, 100, 10]",99,17.0,1.0
low-100,halfcheetah,constant,20,none,iql,"[1000, 100, 10]",849,29.4,0.1
low-10,walker2d,constant,20,none,iql,"[1000, 10, 100]",649,41.9,3.3
low-10,hopper,constant,20,none,iql,"[100, 1000, 10]",299,17.5,1.7
low-10,halfcheetah,constant,20,none,iql,"[1000, 10, 100]",1249,28.9,0.2
medium-expert-v0,walker2d,constant,20,none,iql,"[100, 1000, 10]",1099,106.7,1.7
medium-expert-v0,hopper,constant,20,none,iql,"[1000, 100, 10]",549,112.5,0.3
medium-replay-v0,hopper,constant,20,none,iql,"[10, 1000, 100]",249,39.1,4.0
random-v0,hopper,constant,20,none,iql,"[100, 1000, 10]",1899,11.0,0.0
medium-v0,hopper,constant,20,none,iql,"[10, 100, 1000]",199,45.2,27.0
medium-v0,walker2d,constant,20,none,iql,"[1000, 100, 10]",1199,63.0,3.6
medium-expert-v0,halfcheetah,constant,20,none,iql,"[10, 1000, 100]",1549,44.6,2.0
random-v0,walker2d,constant,20,none,iql,"[1000, 100, 10]",249,7.4,0.3
medium-replay-v0,walker2d,constant,20,none,iql,"[100, 1000, 10]",749,15.8,2.1
medium-v0,halfcheetah,constant,20,none,iql,"[10, 100, 1000]",1699,40.7,0.0
medium-replay-v0,halfcheetah,constant,20,none,iql,"[1000, 10, 100]",549,41.1,0.3
random-v0,halfcheetah,constant,20,none,iql,"[10, 1000, 100]",1249,6.1,4.1
