Dataset Type,Environment,Delay Mode,Delay,Strategy,Algo,Seed,Iteration,D4rl_Score,D4rl_Score_stddev
large-diverse-v2,antmaze,none,20,interval_ensemble,iql,"[1000, 10, 100]",449,11.3,15.3
large-play-v2,antmaze,none,20,interval_ensemble,iql,"[1000, 100, 10]",1099,69.3,2.5
medium-diverse-v2,antmaze,none,20,interval_ensemble,iql,"[100, 1000, 10]",849,83.0,7.8
large-play-v2,antmaze,none,20,none,iql,"[10, 100, 1000]",1399,64.7,8.3
large-diverse-v2,antmaze,none,20,none,iql,"[10, 100, 1000]",1749,17.0,11.4
medium-diverse-v2,antmaze,none,20,none,iql,"[10, 1000, 100]",1549,82.7,2.9
large-diverse-v2,antmaze,none,20,interval_average,iql,"[1000, 10, 100]",1849,15.3,20.3
large-play-v2,antmaze,none,20,interval_average,iql,"[10, 1000, 100]",949,64.3,15.1
medium-diverse-v2,antmaze,none,20,interval_average,iql,"[100, 1000, 10]",1599,79.7,2.1
umaze-v2,antmaze,none,20,interval_ensemble,iql,"[1000, 100, 10]",1499,83.0,2.8
umaze-diverse-v2,antmaze,none,20,interval_ensemble,iql,"[10, 100, 1000]",199,67.0,7.0
umaze-diverse-v2,antmaze,none,20,interval_average,iql,"[1000, 100, 10]",199,67.0,7.0
umaze-v2,antmaze,none,20,interval_average,iql,"[1000, 10, 100]",1199,88.7,1.7
umaze-diverse-v2,antmaze,none,20,none,iql,"[10, 1000, 100]",949,69.0,7.5
umaze-v2,antmaze,none,20,none,iql,"[10, 100, 1000]",1449,73.0,9.4
medium-play-v2,antmaze,none,20,interval_ensemble,iql,"[1000, 100, 10]",1849,87.0,0.0
medium-play-v2,antmaze,none,20,interval_average,iql,"[10, 100, 1000]",1099,82.7,5.4
medium-play-v2,antmaze,none,20,none,iql,"[1000, 10, 100]",1699,86.3,2.9
