Dataset Type,Environment,Delay Mode,Delay,Strategy,Algo,Seed,Iteration,D4rl_Score,D4rl_Score_stddev
medium-expert-v0,walker2d,constant,20,none,iql,"[100, 1000, 10]",1099,106.7,1.7
medium-expert-v0,hopper,constant,20,none,iql,"[1000, 100, 10]",549,112.5,0.3
medium-replay-v0,hopper,constant,20,none,iql,"[10, 1000, 100]",249,39.1,4.0
random-v0,hopper,constant,20,none,iql,"[100, 1000, 10]",1899,11.0,0.0
medium-v0,hopper,constant,20,none,iql,"[10, 100, 1000]",199,45.2,27.0
medium-v0,walker2d,constant,20,none,iql,"[1000, 100, 10]",1199,63.0,3.6
medium-expert-v0,halfcheetah,constant,20,none,iql,"[10, 1000, 100]",1549,44.6,2.0
random-v0,walker2d,constant,20,none,iql,"[1000, 100, 10]",249,7.4,0.3
medium-replay-v0,walker2d,constant,20,none,iql,"[100, 1000, 10]",749,15.8,2.1
medium-v0,halfcheetah,constant,20,none,iql,"[10, 100, 1000]",1699,40.7,0.0
medium-replay-v0,halfcheetah,constant,20,none,iql,"[1000, 10, 100]",549,41.1,0.3
random-v0,halfcheetah,constant,20,none,iql,"[10, 1000, 100]",1249,6.1,4.1
medium-play-v2,antmaze,none,20,none,iql,"[10, 10, 10, 100, 10, 10, 100]",649,66.4,28.2
