Dataset Type,Environment,Delay Mode,Delay,Strategy,Algo,Seed,Iteration,D4rl_Score,D4rl_Score_stddev
medium-v0,walker2d,constant,5,interval_ensemble,mopo,"[1000, 100, 10]",999,50.3,12.6
medium-v0,walker2d,constant,10,interval_ensemble,mopo,"[1000, 100, 10]",1099,59.2,8.6
medium-v0,walker2d,constant,2,interval_ensemble,mopo,"[1000, 100, 10]",549,61.4,3.5
medium-v0,walker2d,constant,100,interval_ensemble,mopo,"[1000, 100, 10]",649,69.2,5.7
medium-v0,walker2d,constant,3,interval_ensemble,mopo,"[1000, 100, 10]",699,65.2,5.9
medium-v0,walker2d,constant,50,interval_ensemble,mopo,"[1000, 100, 10]",899,66.0,4.8
medium-v0,walker2d,constant,1,interval_ensemble,mopo,"[1000, 100, 10]",1349,68.2,8.0
medium-v0,walker2d,constant,200,interval_ensemble,mopo,"[1000, 100, 10]",949,64.2,2.5
medium-v0,walker2d,constant,1000,interval_ensemble,mopo,"[1000, 100, 10]",549,62.9,3.5
medium-v0,walker2d,constant,500,interval_ensemble,mopo,"[1000, 100, 10]",649,66.4,5.2
medium-v0,walker2d,constant,5,none,mopo,"[1000, 100, 10]",49,18.2,1.9
medium-v0,walker2d,constant,1,none,mopo,"[1000, 100, 10]",1249,65.1,0.5
medium-v0,walker2d,constant,2,none,mopo,"[1000, 100, 10]",349,37.0,6.2
medium-v0,walker2d,constant,3,none,mopo,"[1000, 100, 10]",899,21.5,8.4
medium-v0,walker2d,constant,10,none,mopo,"[1000, 100, 10]",1199,10.7,7.6
medium-v0,walker2d,constant,50,none,mopo,"[1000, 100, 10]",199,12.6,7.0
medium-v0,walker2d,constant,100,none,mopo,"[1000, 100, 10]",749,13.4,13.2
medium-v0,walker2d,constant,200,interval_average,mopo,"[1000, 100, 10]",1249,62.7,5.0
medium-v0,walker2d,constant,500,interval_average,mopo,"[1000, 100, 10]",899,64.4,5.8
medium-v0,walker2d,constant,200,none,mopo,"[1000, 100, 10]",649,9.9,6.8
medium-v0,walker2d,constant,1000,interval_average,mopo,"[1000, 100, 10]",1449,66.6,3.9
medium-v0,walker2d,constant,500,none,mopo,"[1000, 100, 10]",0,6.9,5.7
medium-v0,walker2d,constant,1000,none,mopo,"[1000, 100, 10]",0,6.8,5.3
medium-v0,walker2d,constant,50,interval_average,mopo,"[1000, 100, 10]",1399,58.7,10.0
medium-v0,walker2d,constant,100,interval_average,mopo,"[1000, 100, 10]",899,67.6,6.5
medium-v0,walker2d,constant,3,interval_average,mopo,"[1000, 100, 10]",499,48.5,23.3
medium-v0,walker2d,constant,10,interval_average,mopo,"[1000, 100, 10]",299,37.4,19.9
medium-v0,walker2d,constant,5,interval_average,mopo,"[1000, 100, 10]",699,64.7,6.0
medium-v0,walker2d,constant,2,interval_average,mopo,"[1000, 100, 10]",749,64.9,6.6
medium-v0,walker2d,constant,1,interval_average,mopo,"[1000, 100, 10]",599,62.3,8.7
medium-v0,walker2d,constant,20,interval_ensemble,mopo,"[100, 1000, 10]",691,69.1,5.1
medium-v0,walker2d,constant,20,interval_average,mopo,"[10, 1000, 100]",1082,72.0,3.9
medium-v0,walker2d,constant,20,none,mopo,"[1000, 10, 100]",207,15.0,7.4
