Dataset Type,Environment,Delay Mode,Delay,Strategy,Algo,Seed,Iteration,D4rl_Score
large-diverse-v2,antmaze,none,20,interval_ensemble,iql,1000,449,33
large-diverse-v2,antmaze,none,20,interval_ensemble,iql,10,449,0
large-diverse-v2,antmaze,none,20,interval_ensemble,iql,100,449,1
large-play-v2,antmaze,none,20,interval_ensemble,iql,1000,1099,72
large-play-v2,antmaze,none,20,interval_ensemble,iql,100,1099,66
large-play-v2,antmaze,none,20,interval_ensemble,iql,10,1099,70
medium-diverse-v2,antmaze,none,20,interval_ensemble,iql,100,849,94
medium-diverse-v2,antmaze,none,20,interval_ensemble,iql,1000,849,78
medium-diverse-v2,antmaze,none,20,interval_ensemble,iql,10,849,77
large-play-v2,antmaze,none,20,none,iql,10,1399,71
large-play-v2,antmaze,none,20,none,iql,100,1399,70
large-play-v2,antmaze,none,20,none,iql,1000,1399,53
large-diverse-v2,antmaze,none,20,none,iql,10,1749,7.0
large-diverse-v2,antmaze,none,20,none,iql,100,1749,11
large-diverse-v2,antmaze,none,20,none,iql,1000,1749,33
medium-diverse-v2,antmaze,none,20,none,iql,10,1549,86
medium-diverse-v2,antmaze,none,20,none,iql,1000,1549,79
medium-diverse-v2,antmaze,none,20,none,iql,100,1549,83
large-diverse-v2,antmaze,none,20,interval_average,iql,1000,1849,2
large-diverse-v2,antmaze,none,20,interval_average,iql,10,1849,44
large-diverse-v2,antmaze,none,20,interval_average,iql,100,1849,0
large-play-v2,antmaze,none,20,interval_average,iql,10,949,43
large-play-v2,antmaze,none,20,interval_average,iql,1000,949,74
large-play-v2,antmaze,none,20,interval_average,iql,100,949,76
medium-diverse-v2,antmaze,none,20,interval_average,iql,100,1599,80
medium-diverse-v2,antmaze,none,20,interval_average,iql,1000,1599,77
medium-diverse-v2,antmaze,none,20,interval_average,iql,10,1599,82
umaze-v2,antmaze,none,20,interval_ensemble,iql,1000,1499,85
umaze-v2,antmaze,none,20,interval_ensemble,iql,100,1499,79
umaze-v2,antmaze,none,20,interval_ensemble,iql,10,1499,85
umaze-diverse-v2,antmaze,none,20,interval_ensemble,iql,10,199,58.0
umaze-diverse-v2,antmaze,none,20,interval_ensemble,iql,100,199,75
umaze-diverse-v2,antmaze,none,20,interval_ensemble,iql,1000,199,68
umaze-diverse-v2,antmaze,none,20,interval_average,iql,1000,199,68
umaze-diverse-v2,antmaze,none,20,interval_average,iql,100,199,75
umaze-diverse-v2,antmaze,none,20,interval_average,iql,10,199,58.0
umaze-v2,antmaze,none,20,interval_average,iql,1000,1199,87
umaze-v2,antmaze,none,20,interval_average,iql,10,1199,88
umaze-v2,antmaze,none,20,interval_average,iql,100,1199,91
umaze-diverse-v2,antmaze,none,20,none,iql,10,949,71
umaze-diverse-v2,antmaze,none,20,none,iql,1000,949,59
umaze-diverse-v2,antmaze,none,20,none,iql,100,949,77
umaze-v2,antmaze,none,20,none,iql,10,1449,60
umaze-v2,antmaze,none,20,none,iql,100,1449,77
umaze-v2,antmaze,none,20,none,iql,1000,1449,82
medium-play-v2,antmaze,none,20,interval_ensemble,iql,1000,1849,87
medium-play-v2,antmaze,none,20,interval_ensemble,iql,100,1849,87
medium-play-v2,antmaze,none,20,interval_ensemble,iql,10,1849,87
medium-play-v2,antmaze,none,20,interval_average,iql,10,1099,81
medium-play-v2,antmaze,none,20,interval_average,iql,100,1099,90
medium-play-v2,antmaze,none,20,interval_average,iql,1000,1099,77
medium-play-v2,antmaze,none,20,none,iql,1000,1699,83
medium-play-v2,antmaze,none,20,none,iql,10,1699,86
medium-play-v2,antmaze,none,20,none,iql,100,1699,90
