Dataset Type,Environment,Delay Mode,Delay,Strategy,Algo,Seed,Iteration,D4rl_Score
medium-expert-v0,hopper,constant,50,none,iql,10,799,112.7
medium-expert-v0,hopper,constant,50,none,iql,1000,799,112.2
medium-expert-v0,hopper,constant,50,none,iql,100,799,112.7
medium-v0,hopper,constant,50,none,iql,100,449,49.9
medium-v0,hopper,constant,50,none,iql,1000,449,34.8
medium-v0,hopper,constant,50,none,iql,10,449,60.6
medium-expert-v0,walker2d,constant,50,none,iql,10,999,98.5
medium-expert-v0,walker2d,constant,50,none,iql,100,999,69.6
medium-expert-v0,walker2d,constant,50,none,iql,1000,999,100.0
medium-replay-v0,hopper,constant,50,none,iql,100,99,29.0
medium-replay-v0,hopper,constant,50,none,iql,1000,99,37.3
medium-replay-v0,hopper,constant,50,none,iql,10,99,31.5
medium-v0,walker2d,constant,50,none,iql,100,849,51.0
medium-v0,walker2d,constant,50,none,iql,1000,849,41.8
medium-v0,walker2d,constant,50,none,iql,10,849,41.5
medium-expert-v0,halfcheetah,constant,50,none,iql,100,999,40.1
medium-expert-v0,halfcheetah,constant,50,none,iql,10,999,35.1
medium-expert-v0,halfcheetah,constant,50,none,iql,1000,999,32.3
random-v0,hopper,constant,50,none,iql,1000,199,10.7
random-v0,hopper,constant,50,none,iql,10,199,10.4
random-v0,hopper,constant,50,none,iql,100,199,10.6
random-v0,walker2d,constant,50,none,iql,1000,99,0.2
random-v0,walker2d,constant,50,none,iql,100,99,0.2
random-v0,walker2d,constant,50,none,iql,10,99,0.2
medium-replay-v0,walker2d,constant,50,none,iql,10,899,20.8
medium-replay-v0,walker2d,constant,50,none,iql,1000,899,18.4
medium-replay-v0,walker2d,constant,50,none,iql,100,899,18.7
medium-v0,halfcheetah,constant,50,none,iql,100,949,38.6
medium-v0,halfcheetah,constant,50,none,iql,10,949,39.2
medium-v0,halfcheetah,constant,50,none,iql,1000,949,38.8
random-v0,halfcheetah,constant,50,none,iql,1000,999,2.3
random-v0,halfcheetah,constant,50,none,iql,10,999,2.4
random-v0,halfcheetah,constant,50,none,iql,100,999,2.4
medium-replay-v0,halfcheetah,constant,50,none,iql,1000,499,40.9
medium-replay-v0,halfcheetah,constant,50,none,iql,10,499,40.2
medium-replay-v0,halfcheetah,constant,50,none,iql,100,499,41.1
