Dataset Type,Environment,Delay Mode,Delay,Strategy,Algo,Seed,Iteration,D4rl_Score
medium-expert-v0,hopper,none,1,none,iql,100,1699,113.1
medium-expert-v0,hopper,none,1,none,iql,1000,1699,112.5
medium-expert-v0,hopper,none,1,none,iql,10,1699,113.8
medium-v0,hopper,none,1,none,iql,100,349,72.0
medium-v0,hopper,none,1,none,iql,1000,349,101.1
medium-v0,hopper,none,1,none,iql,10,349,101.3
medium-replay-v0,hopper,none,1,none,iql,10,249,37.8
medium-replay-v0,hopper,none,1,none,iql,1000,249,43.6
medium-replay-v0,hopper,none,1,none,iql,100,249,37.4
random-v0,hopper,none,1,none,iql,1000,1849,11.6
random-v0,hopper,none,1,none,iql,100,1849,11.7
random-v0,hopper,none,1,none,iql,10,1849,11.8
medium-expert-v0,walker2d,none,1,none,iql,1000,749,105.1
medium-expert-v0,walker2d,none,1,none,iql,100,749,108.6
medium-expert-v0,walker2d,none,1,none,iql,10,749,103.0
medium-replay-v0,walker2d,none,1,none,iql,10,1699,18.1
medium-replay-v0,walker2d,none,1,none,iql,1000,1699,19.2
medium-replay-v0,walker2d,none,1,none,iql,100,1699,18.7
medium-v0,walker2d,none,1,none,iql,10,1499,67.9
medium-v0,walker2d,none,1,none,iql,100,1499,64.5
medium-v0,walker2d,none,1,none,iql,1000,1499,68.7
random-v0,walker2d,none,1,none,iql,1000,1799,13.1
random-v0,walker2d,none,1,none,iql,10,1799,6.4
random-v0,walker2d,none,1,none,iql,100,1799,8.1
medium-expert-v0,halfcheetah,none,1,none,iql,1000,1899,44.5
medium-expert-v0,halfcheetah,none,1,none,iql,100,1899,51.6
medium-expert-v0,halfcheetah,none,1,none,iql,10,1899,41.0
medium-v0,halfcheetah,none,1,none,iql,100,1449,42.7
medium-v0,halfcheetah,none,1,none,iql,1000,1449,42.2
medium-v0,halfcheetah,none,1,none,iql,10,1449,42.0
random-v0,halfcheetah,none,1,none,iql,10,249,14.6
random-v0,halfcheetah,none,1,none,iql,100,249,17.2
random-v0,halfcheetah,none,1,none,iql,1000,249,17.3
medium-replay-v0,halfcheetah,none,1,none,iql,10,849,41.6
medium-replay-v0,halfcheetah,none,1,none,iql,1000,849,42.1
medium-replay-v0,halfcheetah,none,1,none,iql,100,849,42.5
