Dataset Type,Environment,Delay Mode,Delay,Strategy,Algo,Seed,Iteration,D4rl_Score
medium-expert-v0,hopper,constant,50,none,mopo,100,649,26.1
medium-expert-v0,hopper,constant,50,none,mopo,1000,649,4.8
medium-expert-v0,hopper,constant,50,none,mopo,10,649,53.9
medium-v0,hopper,constant,50,none,mopo,100,449,6.5
medium-v0,hopper,constant,50,none,mopo,10,449,77.5
medium-v0,hopper,constant,50,none,mopo,1000,449,0.8
medium-replay-v0,hopper,constant,50,none,mopo,100,349,1.0
medium-replay-v0,hopper,constant,50,none,mopo,1000,349,32.1
random-v0,hopper,constant,50,none,mopo,1000,0,8.2
random-v0,hopper,constant,50,none,mopo,100,0,7.7
random-v0,hopper,constant,50,none,mopo,10,0,8.2
medium-expert-v0,walker2d,constant,50,none,mopo,10,899,22.1
medium-expert-v0,walker2d,constant,50,none,mopo,1000,899,3.8
medium-expert-v0,walker2d,constant,50,none,mopo,100,899,0.2
medium-replay-v0,walker2d,constant,50,none,mopo,100,699,13.3
medium-replay-v0,walker2d,constant,50,none,mopo,1000,699,16.8
medium-replay-v0,walker2d,constant,50,none,mopo,10,699,-0.5
medium-v0,walker2d,constant,50,none,mopo,1000,199,21.8
medium-v0,walker2d,constant,50,none,mopo,100,199,0.1
medium-v0,walker2d,constant,50,none,mopo,10,199,0.1
medium-v0,walker2d,constant,50,none,mopo,1000,199,20.1
medium-v0,walker2d,constant,50,none,mopo,100,199,14.6
medium-v0,walker2d,constant,50,none,mopo,10,199,3.2
medium-expert-v0,halfcheetah,constant,50,none,mopo,100,699,13.6
medium-expert-v0,halfcheetah,constant,50,none,mopo,10,699,4.7
medium-expert-v0,halfcheetah,constant,50,none,mopo,1000,699,1.4
random-v0,walker2d,constant,50,none,mopo,1000,499,4.1
random-v0,walker2d,constant,50,none,mopo,100,499,0.7
random-v0,walker2d,constant,50,none,mopo,10,499,-0.0
medium-v0,halfcheetah,constant,50,none,mopo,1000,549,8.2
medium-v0,halfcheetah,constant,50,none,mopo,10,549,6.8
medium-v0,halfcheetah,constant,50,none,mopo,100,549,8.3
random-v0,halfcheetah,constant,50,none,mopo,100,249,8.1
random-v0,halfcheetah,constant,50,none,mopo,10,249,0.4
random-v0,halfcheetah,constant,50,none,mopo,1000,249,0.1
medium-replay-v0,halfcheetah,constant,50,none,mopo,1000,0,8.2
medium-replay-v0,halfcheetah,constant,50,none,mopo,100,0,8.8
medium-replay-v0,halfcheetah,constant,50,none,mopo,10,0,7.8
