Dataset Type,Environment,Delay Mode,Delay,Strategy,Algo,Seed,Iteration,D4rl_Score
medium-replay-v0,halfcheetah,constant,1000,interval_ensemble,mopo,1000,1049,50.9
medium-replay-v0,halfcheetah,constant,1000,interval_ensemble,mopo,100,1049,47.9
medium-replay-v0,halfcheetah,constant,1000,interval_ensemble,mopo,10,1049,49.1
medium-replay-v0,halfcheetah,constant,500,interval_ensemble,mopo,1000,1099,48.5
medium-replay-v0,halfcheetah,constant,500,interval_ensemble,mopo,100,1099,48.3
medium-replay-v0,halfcheetah,constant,500,interval_ensemble,mopo,10,1099,49.5
medium-replay-v0,halfcheetah,constant,200,interval_ensemble,mopo,1000,849,54.4
medium-replay-v0,halfcheetah,constant,200,interval_ensemble,mopo,100,849,53.7
medium-replay-v0,halfcheetah,constant,200,interval_ensemble,mopo,10,849,51.7
medium-replay-v0,halfcheetah,constant,100,interval_ensemble,mopo,1000,1599,53.9
medium-replay-v0,halfcheetah,constant,100,interval_ensemble,mopo,100,1599,53.3
medium-replay-v0,halfcheetah,constant,100,interval_ensemble,mopo,10,1599,56.0
medium-replay-v0,halfcheetah,constant,50,interval_ensemble,mopo,1000,1199,54.7
medium-replay-v0,halfcheetah,constant,50,interval_ensemble,mopo,100,1199,52.1
medium-replay-v0,halfcheetah,constant,50,interval_ensemble,mopo,10,1199,55.8
medium-replay-v0,halfcheetah,constant,10,interval_ensemble,mopo,1000,1249,49.7
medium-replay-v0,halfcheetah,constant,10,interval_ensemble,mopo,100,1249,57.1
medium-replay-v0,halfcheetah,constant,10,interval_ensemble,mopo,10,1249,49.9
medium-replay-v0,halfcheetah,constant,5,interval_ensemble,mopo,1000,1599,58.3
medium-replay-v0,halfcheetah,constant,5,interval_ensemble,mopo,100,1599,55.2
medium-replay-v0,halfcheetah,constant,5,interval_ensemble,mopo,10,1599,55.8
medium-replay-v0,halfcheetah,constant,3,interval_ensemble,mopo,1000,1599,51.6
medium-replay-v0,halfcheetah,constant,3,interval_ensemble,mopo,100,1599,55.1
medium-replay-v0,halfcheetah,constant,3,interval_ensemble,mopo,10,1599,53.5
medium-replay-v0,halfcheetah,constant,2,interval_ensemble,mopo,1000,1499,51.3
medium-replay-v0,halfcheetah,constant,2,interval_ensemble,mopo,100,1499,50.7
medium-replay-v0,halfcheetah,constant,2,interval_ensemble,mopo,10,1499,56.5
medium-replay-v0,halfcheetah,constant,1,interval_ensemble,mopo,1000,1599,56.1
medium-replay-v0,halfcheetah,constant,1,interval_ensemble,mopo,100,1599,60.0
medium-replay-v0,halfcheetah,constant,1,interval_ensemble,mopo,10,1599,57.2
medium-replay-v0,halfcheetah,constant,1,none,mopo,1000,1449,59.6
medium-replay-v0,halfcheetah,constant,1,none,mopo,100,1449,59.1
medium-replay-v0,halfcheetah,constant,1,none,mopo,10,1449,53.1
medium-replay-v0,halfcheetah,constant,2,none,mopo,1000,549,11.0
medium-replay-v0,halfcheetah,constant,2,none,mopo,100,549,9.7
medium-replay-v0,halfcheetah,constant,2,none,mopo,10,549,8.5
medium-replay-v0,halfcheetah,constant,3,none,mopo,1000,1249,6.3
medium-replay-v0,halfcheetah,constant,3,none,mopo,100,1249,6.8
medium-replay-v0,halfcheetah,constant,3,none,mopo,10,1249,8.5
medium-replay-v0,halfcheetah,constant,5,none,mopo,1000,0,4.1
medium-replay-v0,halfcheetah,constant,5,none,mopo,100,0,7.1
medium-replay-v0,halfcheetah,constant,5,none,mopo,10,0,5.0
medium-replay-v0,halfcheetah,constant,10,none,mopo,1000,0,4.9
medium-replay-v0,halfcheetah,constant,10,none,mopo,100,0,9.0
medium-replay-v0,halfcheetah,constant,10,none,mopo,10,0,4.4
medium-replay-v0,halfcheetah,constant,50,none,mopo,1000,0,8.2
medium-replay-v0,halfcheetah,constant,50,none,mopo,100,0,8.8
medium-replay-v0,halfcheetah,constant,50,none,mopo,10,0,7.8
medium-replay-v0,halfcheetah,constant,100,none,mopo,1000,0,8.5
medium-replay-v0,halfcheetah,constant,100,none,mopo,100,0,6.4
medium-replay-v0,halfcheetah,constant,100,none,mopo,10,0,6.1
medium-replay-v0,halfcheetah,constant,200,none,mopo,1000,0,9.0
medium-replay-v0,halfcheetah,constant,200,none,mopo,100,0,8.4
medium-replay-v0,halfcheetah,constant,200,none,mopo,10,0,5.7
medium-replay-v0,halfcheetah,constant,500,none,mopo,1000,0,8.1
medium-replay-v0,halfcheetah,constant,500,none,mopo,100,0,6.4
medium-replay-v0,halfcheetah,constant,500,none,mopo,10,0,6.0
medium-replay-v0,halfcheetah,constant,1000,none,mopo,1000,0,7.7
medium-replay-v0,halfcheetah,constant,1000,none,mopo,100,0,8.5
medium-replay-v0,halfcheetah,constant,1000,none,mopo,10,0,6.0
medium-replay-v0,halfcheetah,constant,1000,interval_average,mopo,100,936,44.5
medium-replay-v0,halfcheetah,constant,1000,interval_average,mopo,1000,936,45.4
medium-replay-v0,halfcheetah,constant,1000,interval_average,mopo,10,936,47.2
medium-replay-v0,halfcheetah,constant,1,interval_average,mopo,1000,1261,60.1
medium-replay-v0,halfcheetah,constant,1,interval_average,mopo,100,1261,58.6
medium-replay-v0,halfcheetah,constant,1,interval_average,mopo,10,1261,56.8
medium-replay-v0,halfcheetah,constant,2,interval_average,mopo,1000,1437,57.3
medium-replay-v0,halfcheetah,constant,2,interval_average,mopo,100,1437,60.9
medium-replay-v0,halfcheetah,constant,2,interval_average,mopo,10,1437,59.8
medium-replay-v0,halfcheetah,constant,3,interval_average,mopo,1000,1309,54.3
medium-replay-v0,halfcheetah,constant,3,interval_average,mopo,100,1309,59.0
medium-replay-v0,halfcheetah,constant,3,interval_average,mopo,10,1309,56.8
medium-replay-v0,halfcheetah,constant,5,interval_average,mopo,1000,1276,59.3
medium-replay-v0,halfcheetah,constant,5,interval_average,mopo,100,1276,57.2
medium-replay-v0,halfcheetah,constant,5,interval_average,mopo,10,1276,59.4
medium-replay-v0,halfcheetah,constant,10,interval_average,mopo,1000,1142,53.4
