Dataset Type,Environment,Delay Mode,Delay,Strategy,Algo,Seed,Iteration,D4rl_Score
medium-replay-v0,halfcheetah,constant,20,none,mopo,10,6,7.1
medium-replay-v0,halfcheetah,constant,20,none,mopo,1000,6,11.5
medium-replay-v0,halfcheetah,constant,20,none,mopo,100,6,9.2
medium-v0,halfcheetah,constant,20,none,mopo,1000,1355,8.3
medium-v0,halfcheetah,constant,20,none,mopo,100,1355,12.2
medium-v0,halfcheetah,constant,20,none,mopo,10,1355,32.6
medium-expert-v0,halfcheetah,constant,20,none,mopo,1000,1467,36.2
medium-expert-v0,halfcheetah,constant,20,none,mopo,100,1467,1.1
medium-expert-v0,halfcheetah,constant,20,none,mopo,10,1467,1.6
random-v0,walker2d,constant,20,none,mopo,1000,557,-0.0
random-v0,walker2d,constant,20,none,mopo,100,557,22.4
random-v0,walker2d,constant,20,none,mopo,10,557,3.4
medium-replay-v0,walker2d,constant,20,none,mopo,100,1008,0.5
medium-replay-v0,walker2d,constant,20,none,mopo,1000,1008,19.2
medium-replay-v0,walker2d,constant,20,none,mopo,10,1008,22.0
medium-expert-v0,walker2d,constant,20,none,mopo,100,98,21.0
medium-expert-v0,walker2d,constant,20,none,mopo,10,98,21.1
medium-expert-v0,walker2d,constant,20,none,mopo,1000,98,20.9
random-v0,hopper,constant,20,none,mopo,100,1336,5.2
random-v0,hopper,constant,20,none,mopo,10,1336,3.5
random-v0,hopper,constant,20,none,mopo,1000,1336,16.0
medium-replay-v0,hopper,constant,20,none,mopo,1000,1197,33.5
medium-replay-v0,hopper,constant,20,none,mopo,10,1197,60.7
medium-replay-v0,hopper,constant,20,none,mopo,100,1197,16.1
medium-expert-v0,hopper,constant,20,none,mopo,100,918,76.6
medium-expert-v0,hopper,constant,20,none,mopo,10,918,10.3
medium-expert-v0,hopper,constant,20,none,mopo,1000,918,50.6
medium-v0,hopper,constant,20,none,mopo,10,331,5.4
medium-v0,hopper,constant,20,none,mopo,100,331,0.9
medium-v0,hopper,constant,20,none,mopo,1000,331,90.6
medium-v0,walker2d,constant,20,none,mopo,1000,207,20.2
medium-v0,walker2d,constant,20,none,mopo,10,207,20.4
medium-v0,walker2d,constant,20,none,mopo,100,207,4.5
random-v0,halfcheetah,constant,20,none,mopo,100,166,9.5
random-v0,halfcheetah,constant,20,none,mopo,1000,166,12.5
random-v0,halfcheetah,constant,20,none,mopo,10,166,6.9
