Dataset Type,Environment,Delay Mode,Delay,Strategy,Algo,Seed,Iteration,D4rl_Score
medium-replay-v2,hopper,none,1,none,mopo,1000,0,14.4
medium-replay-v2,hopper,none,1,none,mopo,100,0,13.3
medium-replay-v2,hopper,none,1,none,mopo,10,0,14.4
medium-replay-v2,walker2d,none,1,none,mopo,10,0,6.5
medium-replay-v2,walker2d,none,1,none,mopo,1000,0,8.4
medium-replay-v2,walker2d,none,1,none,mopo,100,0,8.5
medium-v0,hopper,none,1,none,mopo,10,0,4.3
medium-v0,hopper,none,1,none,mopo,1000,0,18.3
medium-v0,hopper,none,1,none,mopo,100,0,24.5
medium-expert-v0,hopper,none,1,none,mopo,10,1199,12.7
medium-expert-v0,hopper,none,1,none,mopo,1000,1199,4.3
medium-expert-v0,hopper,none,1,none,mopo,100,1199,36.3
medium-replay-v0,hopper,none,1,none,mopo,10,1149,20.3
medium-replay-v0,hopper,none,1,none,mopo,100,1149,87.0
medium-replay-v0,hopper,none,1,none,mopo,1000,1149,28.5
medium-v0,halfcheetah,none,1,none,mopo,100,799,43.5
medium-v0,halfcheetah,none,1,none,mopo,10,799,43.8
medium-v0,halfcheetah,none,1,none,mopo,1000,799,46.3
medium-expert-v0,walker2d,none,1,none,mopo,100,399,94.3
medium-expert-v0,walker2d,none,1,none,mopo,10,399,89.9
medium-expert-v0,walker2d,none,1,none,mopo,1000,399,20.8
medium-expert-v0,halfcheetah,none,1,none,mopo,100,1349,53.6
medium-expert-v0,halfcheetah,none,1,none,mopo,10,1349,77.6
medium-expert-v0,halfcheetah,none,1,none,mopo,1000,1349,31.6
medium-v0,walker2d,none,1,none,mopo,1000,849,60.4
medium-v0,walker2d,none,1,none,mopo,10,849,75.9
medium-v0,walker2d,none,1,none,mopo,100,849,66.7
random-v0,hopper,none,1,none,mopo,1000,0,7.8
random-v0,hopper,none,1,none,mopo,10,0,7.9
random-v0,hopper,none,1,none,mopo,100,0,7.6
random-v0,walker2d,none,1,none,mopo,10,649,21.6
random-v0,walker2d,none,1,none,mopo,1000,649,0.1
random-v0,walker2d,none,1,none,mopo,100,649,2.4
medium-replay-v0,walker2d,none,1,none,mopo,10,499,56.7
medium-replay-v0,walker2d,none,1,none,mopo,100,499,37.7
medium-replay-v0,walker2d,none,1,none,mopo,1000,499,51.7
random-v0,halfcheetah,none,1,none,mopo,10,1449,23.8
random-v0,halfcheetah,none,1,none,mopo,100,1449,23.1
random-v0,halfcheetah,none,1,none,mopo,1000,1449,21.8
medium-replay-v0,halfcheetah,none,1,none,mopo,1000,1499,54.6
medium-replay-v0,halfcheetah,none,1,none,mopo,10,1499,51.0
medium-replay-v0,halfcheetah,none,1,none,mopo,100,1499,55.3
